file_name_react,smiles_react,data,IP_Boltz_react,IP_Emin_react,EA_Boltz_react,EA_Emin_react,HOMO_Boltz_react,HOMO_Emin_react,LUMO_Boltz_react,LUMO_Emin_react,dipole_Boltz_react,dipole_Emin_react,electro_Boltz_react,electro_Emin_react,nucleo_Boltz_react,nucleo_Emin_react,electrofug_Boltz_react,electrofug_Emin_react,nucleofug_Boltz_react,nucleofug_Emin_react,SASA_area_Boltz_react,SASA_area_Emin_react,SASA_vol_Boltz_react,SASA_vol_Emin_react,Dispersion_area_Boltz_react,Dispersion_area_Emin_react,Dispersion_vol_Boltz_react,Dispersion_vol_Emin_react,Dispersion_P_int_Boltz_react,Dispersion_P_int_Emin_react,VBur_Boltz_react,VBur_Emin_react,Free_VBur_Boltz_react,Free_VBur_Emin_react,Sasa_distal_VBur_Boltz_react,Sasa_distal_VBur_Emin_react,Sasa_mol_VBur_Boltz_react,Sasa_mol_VBur_Emin_react,Buried_distal_VBur_Boltz_react,Buried_distal_VBur_Emin_react,Buried_mol_VBur_Boltz_react,Buried_mol_VBur_Emin_react,Pyr_alpha_Boltz_react,Pyr_alpha_Emin_react,Pyr_P_Boltz_react,Pyr_P_Emin_react,Pyr_P_angle_Boltz_react,Pyr_P_angle_Emin_react,Sterimol_L_Boltz_react,Sterimol_L_Emin_react,Sterimol_B_1_Boltz_react,Sterimol_B_1_Emin_react,Sterimol_B_5_Boltz_react,Sterimol_B_5_Emin_react,Sterimol_bur_L_Boltz_react,Sterimol_bur_L_Emin_react,Sterimol_bur_B_1_Boltz_react,Sterimol_bur_B_1_Emin_react,Sterimol_bur_B_5_Boltz_react,Sterimol_bur_B_5_Emin_react,smiles_ligand,IP_Boltz_ligand,IP_Emin_ligand,EA_Boltz_ligand,EA_Emin_ligand,HOMO_Boltz_ligand,HOMO_Emin_ligand,LUMO_Boltz_ligand,LUMO_Emin_ligand,dipole_Boltz_ligand,dipole_Emin_ligand,electro_Boltz_ligand,electro_Emin_ligand,nucleo_Boltz_ligand,nucleo_Emin_ligand,electrofug_Boltz_ligand,electrofug_Emin_ligand,nucleofug_Boltz_ligand,nucleofug_Emin_ligand,SASA_area_Boltz_ligand,SASA_area_Emin_ligand,SASA_vol_Boltz_ligand,SASA_vol_Emin_ligand,Dispersion_area_Boltz_ligand,Dispersion_area_Emin_ligand,Dispersion_vol_Boltz_ligand,Dispersion_vol_Emin_ligand,Dispersion_P_int_Boltz_ligand,Dispersion_P_int_Emin_ligand,VBur_Boltz_ligand,VBur_Emin_ligand,Free_VBur_Boltz_ligand,Free_VBur_Emin_ligand,Sasa_distal_VBur_Boltz_ligand,Sasa_distal_VBur_Emin_ligand,Sasa_mol_VBur_Boltz_ligand,Sasa_mol_VBur_Emin_ligand,Buried_distal_VBur_Boltz_ligand,Buried_distal_VBur_Emin_ligand,Buried_mol_VBur_Boltz_ligand,Buried_mol_VBur_Emin_ligand,Pyr_alpha_Boltz_ligand,Pyr_alpha_Emin_ligand,Pyr_P_Boltz_ligand,Pyr_P_Emin_ligand,Pyr_P_angle_Boltz_ligand,Pyr_P_angle_Emin_ligand,Cone_angle_Boltz_ligand,Cone_angle_Emin_ligand,Solid_angle_Boltz_ligand,Solid_angle_Emin_ligand,Solid_angle_G_Boltz_ligand,Solid_angle_G_Emin_ligand,Cone_angle_NAtoms_Boltz_ligand,Cone_angle_NAtoms_Emin_ligand,Sterimol_L_Boltz_ligand,Sterimol_L_Emin_ligand,Sterimol_B_1_Boltz_ligand,Sterimol_B_1_Emin_ligand,Sterimol_B_5_Boltz_ligand,Sterimol_B_5_Emin_ligand,Sterimol_bur_L_Boltz_ligand,Sterimol_bur_L_Emin_ligand,Sterimol_bur_B_1_Boltz_ligand,Sterimol_bur_B_1_Emin_ligand,Sterimol_bur_B_5_Boltz_ligand,Sterimol_bur_B_5_Emin_ligand,ratio
SWLQLEVEQSMPSR-UHFFFAOYSA-N_conf_0.gjf,CC#CCO[Si](C(C)C)(C(C)C)C(C)C,0,7.265606343,7.259503193,2.03595585,2.014952331,-0.365118707,-0.364717211,-0.166241351,-0.166241653,0.658835132,0.686612455,0.246314466,0.242940383,-7.265606343,-7.259503193,7.511920809,7.502443576,3.056358616,3.073988052,461.2394306,458.0020735,756.6034354,752.9609567,343.8374757,341.094495,357.292869,357.4223693,18.10066018,18.07718326,82.98210413,85.38347237,96.6122759,94.21090766,198.1328802,195.5692357,281.1149843,280.9527081,198.2719522,195.694279,281.2540564,281.0777514,84.65628839,84.61796466,0.006786529,0.006560048,0.481119701,0.468440028,4.744465685,4.744584874,1.745018052,1.731065239,7.253539797,7.307108573,4.744465685,4.744584874,1.745018052,1.731065239,7.009245837,7.080052989,CC(O1)(C)C(C)(C)OB1[Cu][P](C2CCCCC2)(C3CCCCC3)C4CCCCC4,6.239026915,6.236524887,2.613363402,2.549242946,-0.295710189,-0.296062864,-0.174829447,-0.171560547,2.504308433,2.466512898,0.237153386,0.227371055,-6.239026915,-6.236524887,6.4761803,6.463895942,2.469789984,2.52412811,696.7960824,687.7307912,1241.017199,1234.090887,559.7072818,557.1238961,620.4995323,620.4704253,20.40458216,20.48078257,107.3461106,107.0033675,72.24826943,72.59101254,376.3828079,376.7987559,483.7289185,483.8021234,376.240429,376.5411026,483.5865396,483.54447,36.72824227,31.05625285,0.22389887,0.264546003,6.189257336,7.096222399,280.4851813,274.4261234,8.208756369,8.140240076,65.32320764,64.77797231,3,3,9.683467935,9.583006443,4.282650093,4.184005418,6.664996739,6.635797136,7.447795111,7.503944196,4.282650093,4.184005418,6.664996739,6.635797136,-2.304308355
QIGSPXPODKLGRK-UHFFFAOYSA-N_conf_0.gjf,C#CCOC(C)(C)C,0,8.70610954,8.754761919,0.289834008,0.271289887,-0.391992401,-0.393394206,-0.160309629,-0.160432872,0.597488347,0.571109674,0.162324351,0.163855262,-8.70610954,-8.754761919,8.868433891,8.918617181,4.718490343,4.738565375,303.8622025,301.6114906,434.4996632,432.5285845,196.4233927,195.5909217,179.3823642,179.24994,15.2810258,15.30654163,48.39700903,50.03503277,131.197371,129.5593473,83.24741132,81.45206936,131.6444204,131.4871021,83.26058839,81.45175206,131.6575974,131.4867848,30.11352219,30.14614025,0.0000422,0.0000543,0.528020678,0.482950232,3.745779722,3.746005914,1.7,1.7,5.336128488,5.471766224,3.745779722,3.746005914,1.7,1.7,5.336128488,5.471766224,CC1(C)OB(/[Cu]=C2N(C3=C(C)C=C(C)C=C3C)C=CN/2C4=C(C)C=C(C)C=C4C)OC1(C)C,5.982462764,5.986137343,4.423053711,4.423386727,-0.277278519,-0.277261653,-0.2315491,-0.231558517,2.676235642,2.679185612,0.603166487,0.603721418,-5.982462764,-5.986137343,6.585629251,6.589858761,1.026112776,1.026334691,722.844731,722.1033057,1291.076561,1289.953134,599.8105031,596.7527206,620.9256948,618.6124521,21.58094706,21.50741659,112.0663794,112.0184803,67.5280006,67.57589973,404.4257757,404.3821984,516.4921551,516.4006787,404.6048637,404.7226033,516.6712431,516.7410836,28.06784277,28.08975987,0.086901675,0.086269677,6.370421311,6.36953559,288.3992979,288.4637423,8.875462223,8.870261607,70.62868425,70.58729906,3,3,9.34329428,9.344435293,4.26518527,4.266345251,8.264892929,8.264916687,8.273273039,8.273785433,4.26518527,4.266345251,6.790333673,6.790182677,-1.179698219
XTYBMJQHLYVUBK-UHFFFAOYSA-N_conf_0.gjf,COCC#Cc1ccccc1,1,8.138858508,8.145785398,3.793433711,3.795587049,-0.385162935,-0.385294838,-0.242051682,-0.242139884,0.593810015,0.592885278,0.682923954,0.684308726,-8.138858508,-8.145785398,8.821782463,8.830094124,1.735490244,1.734721676,358.137065,357.8718908,512.9970374,512.870726,228.91831,229.96271,203.6559819,203.7029322,16.83113302,16.89106661,87.74298363,87.99300449,91.8513964,91.60137554,87.97984128,87.63114438,175.7228249,175.6241489,88.06387545,87.82996024,175.8068591,175.8229647,78.02018795,77.92310159,0.03399417,0.034817354,1.723638616,1.754527348,5.098429746,5.044325464,1.947458545,1.945781747,4.397790681,4.424793914,5.098429746,5.044325464,1.947458545,1.945781747,4.397790681,4.424793914,CC1(C)OB([Cu][P](C2=CC=C(F)C=C2)(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)OC1(C)C,6.661517106,6.661727149,5.757677845,5.757309334,-0.319583243,-0.319599504,-0.281260317,-0.281241399,1.461487953,1.460526035,1.246845349,1.246667708,-6.661517106,-6.661727149,7.908362455,7.908394857,0.335167504,0.335358374,736.6885176,736.8005245,1232.947643,1233.419899,536.9508408,539.0099857,549.8921099,549.8536999,21.14275895,21.18011965,97.29110618,97.31933629,82.30327385,82.27504374,388.1001953,388.1476455,485.3913015,485.4669818,387.9770567,387.967511,485.2681629,485.2868472,33.0426394,32.97781675,0.057044602,0.056668471,4.857485977,4.879310408,286.1850416,286.0744499,7.245815867,7.246213709,57.66037059,57.66353653,3,3,10.11297872,10.07376216,4.331106694,4.327792433,7.138279892,7.139503442,7.339371714,7.341584221,4.331106694,4.327792433,7.138279892,7.139503442,-0.487925383
KLPBYNLZAIQBTO-UHFFFAOYSA-N_conf_0.gjf,C[Si](C(C)(C)C)(C)CC#Cc5ccccc5,1,7.052393145,7.052463968,3.710149358,3.71010149,-0.360595954,-0.360597302,-0.229147797,-0.229148146,0.563925648,0.56394563,0.53438619,0.53438259,-7.052393145,-7.052463968,7.586779334,7.586846558,1.670236832,1.6702811,488.5305823,488.6031047,779.9627533,779.9808519,358.4056431,358.3550302,351.0648445,351.0559303,18.72351774,18.73896856,98.07840398,98.08912212,81.51597605,81.50525791,187.9721711,188.0674323,286.0505751,286.1565544,187.812069,187.7817197,285.8904729,285.8708418,59.48903165,39.36715362,0.006696902,0.006528162,0.880007886,0.878633375,7.978919818,7.978947155,1.749213136,1.747452069,5.208440887,5.207579046,7.498798992,7.498819109,1.749213136,1.747452069,5.208440887,5.207579046,CC1(C)OB(/[Cu]=C2N(C3=C(C(C)C)C=CC=C3C(C)C)C=CN/2C4=C(C(C)C)C=CC=C4C(C)C)OC1(C)C,5.905922233,5.905779038,4.50259645,4.502241339,-0.2795879,-0.279579399,-0.234028297,-0.234013773,2.737877627,2.737889198,0.61889978,0.618767182,-5.905922233,-5.905779038,6.524822013,6.52454622,0.962303331,0.962525844,789.0676933,789.2630771,1495.059231,1495.312378,688.8127083,689.0669218,752.589056,752.6303185,22.3088482,22.31019378,127.0670068,127.0533597,52.52737325,52.54102032,493.5168132,493.5490151,620.58382,620.6023748,493.3004885,493.3298306,620.3674953,620.3831903,39.77737962,39.14881839,0.185461211,0.187700517,4.804313096,4.864310811,311.6352207,311.6437072,9.953256324,9.953293548,79.20549719,79.20579341,3,3,9.696416295,9.695585978,5.120691517,5.122232872,7.186021193,7.185087952,7.910156087,7.910084,5.120691517,5.122232872,6.759387306,6.758792189,-2.393850718
PTRUTZFCVFUTMW-UHFFFAOYSA-N_conf_0.gjf,C#Cc1cccc(F)c1,0,9.039665687,9.039665687,4.067910175,4.067910175,-0.402159075,-0.402159075,-0.257973564,-0.257973564,0.855245421,0.855245421,0.869007632,0.869007632,-9.039665687,-9.039665687,9.908673318,9.908673318,1.647097457,1.647097457,289.772116,289.772116,400.3464977,400.3464977,170.0355161,170.0355161,148.565058,148.565058,16.64886277,16.64886277,44.80969311,44.80969311,134.7846869,134.7846869,81.7012953,81.7012953,126.5109884,126.5109884,81.63836748,81.63836748,126.4480606,126.4480606,89.99998887,89.99998887,7.38E-11,7.38E-11,0.0000367,0.0000367,3.749483388,3.749483388,1.700243931,1.700243931,3.808782052,3.808782052,3.749483388,3.749483388,1.700243931,1.700243931,3.808782052,3.808782052,CC1(C)OB(/[Cu]=C2N(C3=C(C(C)C)C=CC=C3C(C)C)C=CN/2C4=C(C(C)C)C=CC=C4C(C)C)OC1(C)C,5.905922233,5.905779038,4.50259645,4.502241339,-0.2795879,-0.279579399,-0.234028297,-0.234013773,2.737877627,2.737889198,0.61889978,0.618767182,-5.905922233,-5.905779038,6.524822013,6.52454622,0.962303331,0.962525844,789.0676933,789.2630771,1495.059231,1495.312378,688.8127083,689.0669218,752.589056,752.6303185,22.3088482,22.31019378,127.0670068,127.0533597,52.52737325,52.54102032,493.5168132,493.5490151,620.58382,620.6023748,493.3004885,493.3298306,620.3674953,620.3831903,39.77737962,39.14881839,0.185461211,0.187700517,4.804313096,4.864310811,311.6352207,311.6437072,9.953256324,9.953293548,79.20549719,79.20579341,3,3,9.696416295,9.695585978,5.120691517,5.122232872,7.186021193,7.185087952,7.910156087,7.910084,5.120691517,5.122232872,6.759387306,6.758792189,1.629156879
XTYBMJQHLYVUBK-UHFFFAOYSA-N_conf_0.gjf,COCC#Cc1ccccc1,1,8.138858508,8.145785398,3.793433711,3.795587049,-0.385162935,-0.385294838,-0.242051682,-0.242139884,0.593810015,0.592885278,0.682923954,0.684308726,-8.138858508,-8.145785398,8.821782463,8.830094124,1.735490244,1.734721676,358.137065,357.8718908,512.9970374,512.870726,228.91831,229.96271,203.6559819,203.7029322,16.83113302,16.89106661,87.74298363,87.99300449,91.8513964,91.60137554,87.97984128,87.63114438,175.7228249,175.6241489,88.06387545,87.82996024,175.8068591,175.8229647,78.02018795,77.92310159,0.03399417,0.034817354,1.723638616,1.754527348,5.098429746,5.044325464,1.947458545,1.945781747,4.397790681,4.424793914,5.098429746,5.044325464,1.947458545,1.945781747,4.397790681,4.424793914,CC1(OB(OC1(C)C)[Cu][P](OC(C)(C)C)(OC(C)(C)C)C2=CC=CC=C2)C,6.377847352,6.377952974,4.043485576,4.043248982,-0.304252878,-0.304261042,-0.244615094,-0.24461028,2.001114511,1.999753543,0.541136195,0.541083383,-6.377847352,-6.377952974,6.918983548,6.919036357,1.343650619,1.343834401,688.5899483,688.6024844,1177.332514,1177.341049,540.4028519,540.4111784,557.0024941,556.9969848,20.34899587,20.34903717,114.7614109,114.7838522,64.8329691,64.81052782,337.1761159,337.1544233,451.9375268,451.9382755,337.1991307,337.177212,451.9605416,451.9610643,46.67917629,46.69904234,0.079495155,0.079537505,2.806975091,2.804973372,295.8277712,295.8387329,8.730329733,8.732257537,69.47375659,69.48909756,3,3,9.953841739,9.953518343,3.901399685,3.900585482,5.994658481,5.994340946,7.167682531,7.167413536,3.901399685,3.900585482,5.994658481,5.994340946,-0.797401595
ZGOSSPHYGCSKIJ-UHFFFAOYSA-N_conf_0.gjf,CC#Cc1ccc2ccccc2c1,0,7.54182268,7.54182268,4.565870807,4.565870807,-0.368705657,-0.368705657,-0.257891315,-0.257891315,0.392868094,0.392868094,0.84269555,0.84269555,-7.54182268,-7.54182268,8.38451823,8.38451823,1.122824743,1.122824743,380.0437095,380.0437095,555.4650291,555.4650291,242.4284433,242.4284433,224.274801,224.274801,17.98974223,17.98974223,72.8503969,72.8503969,106.7439831,106.7439831,125.2021809,125.2021809,198.0525778,198.0525778,125.2873648,125.2873648,198.1377617,198.1377617,36.6734688,36.6734688,0.000351964,0.000351964,0.317245089,0.317245089,4.747686849,4.747686849,1.700123931,1.700123931,4.401934914,4.401934914,4.747686849,4.747686849,1.700123931,1.700123931,4.401934914,4.401934914,CC1(C)OB([Cu][P](C2=CC=C(C)C=C2)(C3=CC=C(C)C=C3)C4=CC=C(C)C=C4)OC1(C)C,6.17771244,6.177714733,5.045072557,5.045071688,-0.295659277,-0.295659243,-0.25229574,-0.252295734,2.951952397,2.95195357,0.850180561,0.850180483,-6.17771244,-6.177714733,7.027893001,7.027895216,0.651108004,0.651108795,792.8937054,792.8936365,1329.155822,1329.15572,598.4382298,598.438175,610.3343777,610.3343149,20.96499006,20.96499127,96.56215455,96.56210132,83.03222548,83.03227871,415.5621509,415.5621601,512.1243054,512.1242614,415.6418731,415.6418812,512.2040276,512.2039825,34.37232104,34.37229967,0.038579088,0.038579442,3.760649715,3.760675521,290.1202849,290.1201174,7.195225509,7.195212205,57.25778532,57.25767945,3,3,10.07982322,10.0798247,4.691318178,4.691314927,7.515018982,7.515019502,7.282131398,7.282134298,4.56834875,4.568348922,7.472573437,7.472573777,-2.720725073
PAZCLCHJOWLTGA-UHFFFAOYSA-N_conf_0.gjf,C#CCN1C(=O)c2ccccc2C1=O,0,8.875266864,8.875266864,5.857403969,5.857403969,-0.415752471,-0.415752471,-0.314373701,-0.314373701,1.06485474,1.06485474,1.553725273,1.553725273,-8.875266864,-8.875266864,10.42899214,10.42899214,0.542321304,0.542321304,369.5705409,369.5705409,547.9810104,547.9810104,234.6779129,234.6779129,215.1006138,215.1006138,18.12069262,18.12069262,47.03642412,47.03642412,132.5579559,132.5579559,143.7158971,143.7158971,190.7523212,190.7523212,143.6736313,143.6736313,190.7100555,190.7100555,30.00029632,30.00029632,0.0000000766,0.0000000766,0.648665566,0.648665566,3.744591951,3.744591951,1.7,1.7,7.911745383,7.911745383,3.744591951,3.744591951,1.7,1.7,6.568916084,6.568916084,CC1(C)OB(/[Cu]=C2N(C3=C(C)C=C(C)C=C3C)C=CN/2C4=C(C)C=C(C)C=C4C)OC1(C)C,5.982462764,5.986137343,4.423053711,4.423386727,-0.277278519,-0.277261653,-0.2315491,-0.231558517,2.676235642,2.679185612,0.603166487,0.603721418,-5.982462764,-5.986137343,6.585629251,6.589858761,1.026112776,1.026334691,722.844731,722.1033057,1291.076561,1289.953134,599.8105031,596.7527206,620.9256948,618.6124521,21.58094706,21.50741659,112.0663794,112.0184803,67.5280006,67.57589973,404.4257757,404.3821984,516.4921551,516.4006787,404.6048637,404.7226033,516.6712431,516.7410836,28.06784277,28.08975987,0.086901675,0.086269677,6.370421311,6.36953559,288.3992979,288.4637423,8.875462223,8.870261607,70.62868425,70.58729906,3,3,9.34329428,9.344435293,4.26518527,4.266345251,8.264892929,8.264916687,8.273273039,8.273785433,4.26518527,4.266345251,6.790333673,6.790182677,-0.588906202
APRFWKJDBMVNOB-UHFFFAOYSA-N_conf_0.gjf,CC#CCS(=O)(=O)c1ccccn1,0,8.073981986,8.109205049,4.538883405,4.535921847,-0.386923197,-0.387318136,-0.279155825,-0.279064838,2.270901709,2.462529785,0.899706408,0.903081338,-8.073981986,-8.109205049,8.973688394,9.012286387,1.206823004,1.213159491,383.0325658,379.6490823,569.1376478,566.9016318,251.5438508,251.5977537,228.5251868,228.7745232,18.54611049,18.67411006,81.98557878,84.11060641,97.60880125,95.48377362,122.0976187,119.7512329,204.0831975,203.8618393,122.1442844,119.823024,204.1298632,203.9336304,83.83391954,82.55327517,0.007533888,0.009273854,0.552305526,0.677196745,4.744153533,4.744288422,1.817703355,1.849960152,6.443150892,6.951003341,4.744153533,4.744288422,1.817703355,1.849960152,6.443150892,6.951003341,CC(O1)(C)C(C)(C)OB1[Cu][P](C2CCCCC2)(C3CCCCC3)C4CCCCC4,6.239026915,6.236524887,2.613363402,2.549242946,-0.295710189,-0.296062864,-0.174829447,-0.171560547,2.504308433,2.466512898,0.237153386,0.227371055,-6.239026915,-6.236524887,6.4761803,6.463895942,2.469789984,2.52412811,696.7960824,687.7307912,1241.017199,1234.090887,559.7072818,557.1238961,620.4995323,620.4704253,20.40458216,20.48078257,107.3461106,107.0033675,72.24826943,72.59101254,376.3828079,376.7987559,483.7289185,483.8021234,376.240429,376.5411026,483.5865396,483.54447,36.72824227,31.05625285,0.22389887,0.264546003,6.189257336,7.096222399,280.4851813,274.4261234,8.208756369,8.140240076,65.32320764,64.77797231,3,3,9.683467935,9.583006443,4.282650093,4.184005418,6.664996739,6.635797136,7.447795111,7.503944196,4.282650093,4.184005418,6.664996739,6.635797136,-2.304308355
ZSMZQEFXKCGILJ-UHFFFAOYSA-N_conf_0.gjf,CC#CCOC(C)=O,0,8.930467845,8.941672151,2.543742847,2.540175936,-0.402631469,-0.402047006,-0.225387979,-0.225042649,1.03022165,0.950009799,0.488897169,0.489380914,-8.930467845,-8.941672151,9.419365014,9.431053065,2.791154322,2.795204978,309.9115852,309.3797543,419.9304419,419.5622823,187.3330514,187.6064764,156.8434252,156.8767176,14.91651841,14.98283988,72.28892776,72.97799727,107.3054523,106.6163828,61.29377027,60.6164705,133.582698,133.5944678,61.37171919,60.70744272,133.6606469,133.68544,84.9976545,83.91252204,0.008050733,0.010289839,0.495884364,0.621129785,4.742769933,4.742684583,1.773433687,1.7904672,5.173410171,5.335895543,4.742769933,4.742684583,1.773433687,1.7904672,5.173410171,5.335895543,CC(O1)(C)C(C)(C)OB1[Cu][P](C2CCCCC2)(C3CCCCC3)C4CCCCC4,6.239026915,6.236524887,2.613363402,2.549242946,-0.295710189,-0.296062864,-0.174829447,-0.171560547,2.504308433,2.466512898,0.237153386,0.227371055,-6.239026915,-6.236524887,6.4761803,6.463895942,2.469789984,2.52412811,696.7960824,687.7307912,1241.017199,1234.090887,559.7072818,557.1238961,620.4995323,620.4704253,20.40458216,20.48078257,107.3461106,107.0033675,72.24826943,72.59101254,376.3828079,376.7987559,483.7289185,483.8021234,376.240429,376.5411026,483.5865396,483.54447,36.72824227,31.05625285,0.22389887,0.264546003,6.189257336,7.096222399,280.4851813,274.4261234,8.208756369,8.140240076,65.32320764,64.77797231,3,3,9.683467935,9.583006443,4.282650093,4.184005418,6.664996739,6.635797136,7.447795111,7.503944196,4.282650093,4.184005418,6.664996739,6.635797136,-1.300954968
